declon,declat,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-42.038103,-22.427067,
-54.580556,-25.434717,
-40.202997,-19.137456,
-41.006089,-20.656403,
-560000000,-300000000,
-560000000,-300000000,
-52.53728,-32.538882,
-52.53728,-32.538882,
-52.53728,-32.538882,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-52.503221,-32.556377,
-48.973056,-28.585278,
-49.918365,-24.575698,
-49.920523,-24.572734,
-48.19395,-21.779511,
-55.794714,-19.142142,
-44.243629,-15.135077,
-44.24138,-15.091739,
-44.24138,-15.091739,
-44.253114,-15.089608,
-44.017417,-20.076056,
-49.319583,-28.549417,
-40.550833,-19.8825,
-49.199722,-27.064167,
N/A,N/A,
-58.916104,-31.018897,
-43.912804,-16.70033,
-59.782433,-22.466951,
-56.746994,-16.584614,
-56.720274,-16.551819,
-55.1181,-5.7998,
-83.864394,-9.041241,
-84.637799,9.797538,
-56.748959,-16.514595,
-56.73531,-16.531214,
-55.121311,-5.796592,
-56.741112,-16.587585,
-84.635162,-9.794256,
-84.623465,-9.780489,
-84.146157,-9.380282,
-84.146461,-9.379501,
-83.199059,-8.662847,
-84.639778,-9.799037,
-84.639778,-9.799037,
-84.129406,-9.400285,
-84.143851,-9.381804,
-56.6958,-16.5569,
-82.509266,-9.51746,
-84.145098,-9.381681,
-84.143981,-9.382084,
-84.140926,-9.382733,
-84.144824,-9.381901,
-82.732664,-9.781085,
-84.142662,-9.382155,
-84.635049,-9.790457,
-84.631433,-9.784427,
-84.139695,-9.393516,
-56.859527,-16.745373,
-84.21153,-9.415371,
-56.726093,-16.548321,
-84.144373,-9.382169,
-56.69334,-16.481911,
-56.740528,-16.587475,
-83.205109,-8.697045,
-83.205109,-8.697045,
-56704,-16.5849,
-82.827959,-9.73463,
-82.821301,-9.735722,
-84.637799,-9.797538,
-82.832055,-9.734594,
-56.714881,-16.527134,
-56.747978,-16.586382,
-84.63517,-9.791721,
-84.635567,-9.795056,
-83.199059,-8.662847,
-84.6354,-9795,
-84.635567,-9.795056,
-84.14797,-9.378993,
-84.626622,-9.778513,
-82.732664,-9.781085,
-56.698619,-16.806913,
-56.896348,-5.988952,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-40.40185,-20.605717,
-54.546748,-25.624765,
-75.394916,-10.046529,
